length	proportion
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0.004958678
26	0.003305785
27	0.011570248
28	0.018181818
29	0.031404959
30	0.056198347
31	0.031404959
32	0.07107438
33	0.061157025
34	0.072727273
35	0.090909091
36	0.092561983
37	0.054545455
38	0.06446281
39	0.059504132
40	0.066115702
41	0.039669421
42	0.018181818
43	0.016528926
44	0.01322314
45	0.004958678
46	0.004958678
47	0
48	0
49	0.001652893
50	0.003305785
51	0.001652893
52	0.00661157
53	0.00661157
54	0
55	0.014876033
56	0.019834711
57	0.009917355
58	0.01322314
59	0.008264463
60	0.00661157
61	0.014876033
62	0.003305785
63	0.001652893
64	0
65	0
66	0
67	0
