Fished,Lon,Lat
100,-48.26667,-59.88667
100,-46.01667,-59.90000
100,-43.50000,-59.95000
100,-43.50000,-60.30000
100,-44.80000,-60.41667
100,-43.53333,-60.65000
100,-43.53333,-60.75000
100,-45.72000,-60.80000
100,-47.03333,-61.15000
100,-48.80000,-60.30000
100,-47.56667,-60.30000
100,-48.35000,-59.88333
100,-48.26667,-59.88667
200,-42.08333,-60.63330
200,-41.95000,-60.60000
200,-40.55000,-60.56667
200,-39.81667,-60.73333
200,-39.83333,-60.76667
200,-41.16667,-60.79000
200,-42.03333,-60.65000
200,-42.08333,-60.63330
300,-43.90000,-59.83333
300,-43.03333,-59.71667
300,-42.16667,-59.35000
300,-43.21667,-58.26667
300,-45.86667,-57.95000
300,-46.55000,-58.01667
300,-45.78333,-59.05000
300,-43.90000,-59.83333
