length,TS038,TS070,TS120,TS200
10.5,-112.997963779078,-102.686981138769,-96.3037726428223,-89.3982598023078
11.5,-110.753737845828,-100.619634055178,-94.3600276113958,-87.691522133869
12.5,-108.696356146704,-98.7444876736909,-92.6019947659795,-86.1806709705769
13.5,-106.808131592053,-97.0435732902943,-90.9821208535777,-84.8402334177655
14.5,-105.095564748911,-95.4679872669015,-89.5338625975928,-83.6513561540249
15.5,-103.494737527338,-94.0125147778826,-88.1707701298811,-82.6003576631303
16.5,-102.01191531667,-92.6627044132516,-86.9347816522284,-81.675225578515
17.5,-100.645292796207,-91.3986225374488,-85.763874788006,-80.864963379081
18.5,-99.32869205973,-90.2153743109184,-84.7104778183692,-80.1614675635931
19.5,-98.1100391754992,-89.1019577951217,-83.7018627638811,-79.5594585129666
20.5,-96.9632470125214,-88.0553672763213,-82.7829801341546,-79.0527663576015
21.5,-95.8806668341769,-87.0631239372638,-81.9087433339516,-78.6370130911265
22.5,-94.8458662100406,-86.1203434275565,-81.0874817011908,-78.3081656780309
23.5,-93.8837544759846,-85.2366883114109,-80.3274999283054,-78.0661806118437
24.5,-92.9452523444368,-84.3860508550397,-79.6320584670123,-77.9091079417745
25.5,-92.0493302434823,-83.5843350807179,-78.965690071328,-77.8349042031889
26.5,-91.1836768586629,-82.8244628711731,-78.3533817135682,-77.839211435396
27.5,-90.3892608364353,-82.086366909825,-77.7932370739105,-77.9147497181699
28.5,-89.6096013775615,-81.3890074308152,-77.2360841598352,-78.0570518542833
29.5,-88.8367276656267,-80.7261314334417,-76.7689805453939,-78.2625314745449
30.5,-88.1221330293654,-80.0885663993212,-76.2757507978054,-78.5242689761921
31.5,-87.42550950801,-79.4827621942281,-75.8791015800849,-78.8215297739881
32.5,-86.7638694200953,-78.8970976239241,-75.4901104314722,-79.1146033058072
33.5,-86.0927909864533,-78.3349005876691,-75.1530990367431,-79.3572256615301
34.5,-85.4792530664933,-77.796792753569,-74.8118291402008,-79.5101994821129
35.5,-84.8516448644953,-77.282178712484,-74.5407885320018,-79.5166267799964
36.5,-84.2562267109333,-76.7882468293788,-74.2840913890383,-79.3354023167826
37.5,-83.701392866293,-76.3189912351041,-74.0175444800555,-78.9665513173591
38.5,-83.1286605825922,-75.8603583474719,-73.8070210719971,-78.4698600667841
39.5,-82.6063522266877,-75.4342765829068,-73.643246627869,-77.8843769915679
40.5,-82.0661409485921,-75.0092239109862,-73.5120649138007,-77.231082115279
41.5,-81.5728734318184,-74.6105425259495,-73.3498118932412,-76.549319762135
42.5,-81.0899601936929,-74.2228710697321,-73.2776391684167,-75.8912645322432
43.5,-80.6090610708408,-73.8564077681464,-73.1836503894869,-75.2891691888451
44.5,-80.116287691508,-73.5028068300377,-73.1800738087498,-74.7400820493211
45.5,-79.6807156147266,-73.1615454571223,-73.1435098807164,-74.2386238438886
46.5,-79.2177884526054,-72.8407377092689,-73.125352282125,-73.7953655008312
47.5,-78.8029884304744,-72.5325307249533,-73.1386332749408,-73.4083664819856
48.5,-78.3792872244505,-72.2403877215147,-73.1302596021018,-73.0677837378924
49.5,-77.9575390024512,-71.9592981432154,-73.2371496566837,-72.783710855189
50.5,-77.5817923123543,-71.6867548822923,-73.308537884829,-72.5828607287061
51.5,-77.1746399430741,-71.4352834747187,-73.3600477587545,-72.4626438329861
52.5,-76.8106086002966,-71.1959831172432,-73.4783436275082,-72.3947759185844
53.5,-76.4156967764751,-70.9620006693121,-73.5702766247332,-72.3565739379819
54.5,-76.0559054426515,-70.7442582278739,-73.5968663004037,-72.3583966805855
55.5,-75.7128215600373,-70.5378293748032,-73.6944570899513,-72.4090046030847
56.5,-75.3572654053598,-70.339944033155,-73.8030605100533,-72.4955138995738
57.5,-75.0064736181774,-70.1578745712116,-73.85063567005,-72.5968142929485
58.5,-74.7026949843201,-69.9862129283616,-73.8718690666721,-72.7004001490435
59.5,-74.3483167920799,-69.830665364221,-73.8294531950168,-72.7917736393786
60.5,-74.0584298982311,-69.6724816780466,-73.8120086129895,-72.8518813311088
61.5,-73.7502641760653,-69.5323359626774,-73.6904102655387,-72.8616149852062
62.5,-73.4774303250621,-69.4073642728563,-73.5526146116252,-72.8259581423358
63.5,-73.151481273181,-69.2918758624074,-73.4465413053627,-72.7370479343653
64.5,-72.8557379621671,-69.185618011668,-73.1897840356072,-72.5764580845666
65.5,-72.5845204206998,-69.0849714607235,-72.9672421797522,-72.3408697437313
66.5,-72.2890140200911,-68.9985339108294,-72.6736029336704,-72.0620438979863
67.5,-72.0110600095154,-68.9187635405004,-72.4037287357431,-71.7652341386575
