length,TS038,TS070,TS120,TS200
10,-114.208311537175,-103.810470998982,-97.3465885037114,-90.4517393776017
11,-111.843359167736,-101.628151342802,-95.3188689797194,-88.6276891227594
12,-109.707482389274,-99.6613409109752,-93.4432779210294,-87.0188749163999
13,-107.735546118262,-97.8760341806926,-91.7763906481421,-85.5986707518326
14,-105.942726764377,-96.2381353272892,-90.2266890432317,-84.3290549608594
15,-104.269719632613,-94.7294340822319,-88.8658202692277,-83.2042953553224
16,-102.736296987971,-93.3280803637072,-87.5455257313634,-82.2162913083727
17,-101.30819325756,-92.0186444950402,-86.3649293337216,-81.3478758012408
18,-99.9664305669254,-90.7974133701445,-85.2531134681321,-80.5908968051471
19,-98.7043936246874,-89.6485405140415,-84.2191631813133,-79.9320617423135
20,-97.5387411750773,-88.5691188935792,-83.2416881245325,-79.3774268400201
21,-96.4040869440381,-87.5482220211582,-82.3235372530687,-78.9107511923484
22,-95.3599890361149,-86.584514161571,-81.5051823994918,-78.5317838698865
23,-94.3573782520298,-85.6775727783585,-80.7120417885405,-78.2446766246473
24,-93.4072387931699,-84.8097272664906,-79.9798101033282,-78.0215869388436
25,-92.4760421707387,-83.9793908930599,-79.3176513424788,-77.8929116450487
26,-91.6029245488267,-83.1967709613985,-78.6415660442671,-77.8503405050625
27,-90.778712994333,-82.4491492765491,-78.0654515256577,-77.8494173574303
28,-89.9910330653239,-81.737913314264,-77.5043672148855,-77.9368710985297
29,-89.2018383455537,-81.0609699219617,-76.978699174872,-78.0773406197258
30,-88.4998374421688,-80.4014368831107,-76.4969369451772,-78.2804824062777
31,-87.7544761320332,-79.7819541077723,-76.081738180027,-78.5067944708534
32,-87.0813491303724,-79.1831360938501,-75.6916755771799,-78.7360061983148
33,-86.4135976384124,-78.6125786387918,-75.2826891547163,-78.9538619583832
34,-85.7791004709758,-78.0628108542745,-74.9700271956652,-79.099708117582
35,-85.1524979488698,-77.5372612609704,-74.6614891205889,-79.1180383555366
36,-84.5597445291322,-77.0344104787473,-74.3851351572684,-79.0214393962396
37,-83.9598061765849,-76.5486913838651,-74.1617583406487,-78.7760009130614
38,-83.4274842754013,-76.0902735229955,-73.93418355181,-78.3488020845929
39,-82.8796603137033,-75.6467574163766,-73.6965197448466,-77.8682679975566
40,-82.3526685559485,-75.2137935780294,-73.5398192138201,-77.2863033575694
41,-81.8089490631658,-74.8098519763135,-73.4093545063855,-76.6766873760562
42,-81.3004568362963,-74.4154946131299,-73.3192397998182,-76.0767170910441
43,-80.8298931979936,-74.0336965905129,-73.2310654441889,-75.5053543819625
44,-80.3550974140972,-73.6781925430358,-73.1573874100856,-74.9491198946158
45,-79.8851062529272,-73.3271545771011,-73.1472019432722,-74.4736791905521
46,-79.4447314241375,-72.9980848857353,-73.141488227931,-74.0229862688235
47,-79.0169469566498,-72.6845243057352,-73.1528546283651,-73.64143185471
48,-78.5791768941026,-72.3873025983864,-73.206761817319,-73.3220212050823
49,-78.1859902446928,-72.0934774219188,-73.1635189329711,-73.0370421544195
50,-77.7714396221326,-71.818626565439,-73.2641294305423,-72.8117505896074
51,-77.3473729246214,-71.5622938416795,-73.3358162452547,-72.6207448220783
52,-76.9519874252775,-71.3105024869199,-73.4146676823932,-72.552573117915
53,-76.6230176242422,-71.0810315551176,-73.505958847529,-72.4914116522901
54,-76.2245488566723,-70.8535036280238,-73.6116200215765,-72.4638213217718
55,-75.892924289028,-70.6348951973115,-73.6637038640545,-72.4684419649067
56,-75.5215838066056,-70.442151501703,-73.755630419619,-72.4925926619769
57,-75.1770256019545,-70.2406568396913,-73.7866640137296,-72.5212164702515
58,-74.8558125371563,-70.0774577125016,-73.8870542940066,-72.5857030469563
59,-74.5246740414275,-69.9063469701864,-73.8350430903158,-72.6067051543591
60,-74.2118673481341,-69.7523128916227,-73.8060080041884,-72.6407398953216
61,-73.8950852900282,-69.6079063724689,-73.7291751685653,-72.6096811422554
62,-73.5879663329687,-69.4703186060797,-73.6709576515769,-72.5543268514991
63,-73.2903063504007,-69.3469269937982,-73.5413084844431,-72.5019899891625
64,-73.0110335238734,-69.229136562906,-73.3326136926755,-72.3475261525248
65,-72.7184622254745,-69.1298430355917,-73.0777362807591,-72.1632262341529
66,-72.425588500368,-69.0393864429941,-72.8448502784259,-71.9498176486267
67,-72.1744850963086,-68.9526698345173,-72.5878534738418,-71.7143310883949
