length,ts038,ts120,ts200
10,-114.21,-97.34,-90.3
11,-111.84,-95.32,-88.48
12,-109.7,-93.45,-86.88
13,-107.74,-91.77,-85.46
14,-105.95,-90.27,-84.22
15,-104.27,-88.85,-83.11
16,-102.74,-87.56,-82.13
17,-101.3,-86.36,-81.28
18,-99.96,-85.23,-80.53
19,-98.71,-84.2,-79.88
20,-97.53,-83.27,-79.35
21,-96.4,-82.33,-78.91
22,-95.36,-81.49,-78.55
23,-94.36,-80.72,-78.29
24,-93.39,-79.96,-78.11
25,-92.48,-79.31,-78.02
26,-91.62,-78.66,-78.01
27,-90.79,-78.06,-78.1
28,-90,-77.53,-78.26
29,-89.23,-77.01,-78.47
30,-88.5,-76.52,-78.77
31,-87.76,-76.06,-79.07
32,-87.06,-75.68,-79.38
33,-86.41,-75.28,-79.68
34,-85.77,-74.97,-79.86
35,-85.16,-74.65,-79.88
36,-84.57,-74.4,-79.73
37,-83.97,-74.11,-79.37
38,-83.41,-73.9,-78.81
39,-82.86,-73.7,-78.18
40,-82.35,-73.6,-77.46
41,-81.83,-73.46,-76.73
42,-81.32,-73.29,-76.03
43,-80.82,-73.26,-75.37
44,-80.36,-73.18,-74.78
45,-79.91,-73.18,-74.24
46,-79.45,-73.15,-73.76
47,-79.02,-73.15,-73.38
48,-78.58,-73.17,-73.03
49,-78.18,-73.19,-72.77
50,-77.79,-73.28,-72.56
51,-77.37,-73.32,-72.4
52,-76.99,-73.41,-72.32
53,-76.58,-73.53,-72.27
54,-76.24,-73.63,-72.28
55,-75.88,-73.67,-72.34
56,-75.53,-73.75,-72.43
57,-75.19,-73.78,-72.52
58,-74.89,-73.89,-72.61
59,-74.53,-73.82,-72.74
60,-74.2,-73.84,-72.8
61,-73.89,-73.75,-72.86
62,-73.57,-73.61,-72.85
63,-73.29,-73.52,-72.78
64,-72.99,-73.39,-72.66
65,-72.71,-73.06,-72.47
66,-72.42,-72.84,-71.95
67,-72.18,-72.53,-71.70
